Position,XY,XZ,YZ,
471,0.82088,0.84692,0.76628,
472,0.81980,0.84878,0.76797,
473,0.81840,0.85035,0.76954,
474,0.81684,0.85183,0.77106,
475,0.81533,0.85286,0.77247,
476,0.81343,0.85357,0.77358,
477,0.81115,0.85438,0.77436,
478,0.80902,0.85529,0.77532,
479,0.80723,0.85629,0.77582,
480,0.80643,0.85676,0.77615,
481,0.80569,0.85683,0.77671,
482,0.80575,0.85659,0.77800,
483,0.80603,0.85552,0.77935,
484,0.80614,0.85490,0.78102,
485,0.80608,0.85488,0.78259,
486,0.80594,0.85469,0.78433,
487,0.80664,0.85435,0.78586,
488,0.80696,0.85342,0.78696,
489,0.80691,0.85189,0.78788,
490,0.80603,0.84992,0.78946,
491,0.80498,0.84771,0.79109,
492,0.80444,0.84616,0.79224,
493,0.80408,0.84567,0.79350,
494,0.80388,0.84517,0.79503,
495,0.80438,0.84415,0.79697,
496,0.80457,0.84297,0.79978,
497,0.80457,0.84105,0.80294,
498,0.80467,0.83915,0.80645,
499,0.80493,0.83759,0.80954,
500,0.80562,0.83620,0.81183,
501,0.80580,0.83479,0.81358,
502,0.80662,0.83329,0.81515,
503,0.80779,0.83163,0.81643,
504,0.80943,0.82936,0.81702,
505,0.81076,0.82673,0.81739,
506,0.81157,0.82376,0.81759,
507,0.81215,0.82039,0.81770,
508,0.81213,0.81654,0.81735,
509,0.81257,0.81316,0.81699,
510,0.81313,0.81152,0.81682,
511,0.81303,0.81037,0.81709,
512,0.81406,0.81046,0.81827,
513,0.81550,0.81071,0.82011,
514,0.81678,0.81208,0.82232,
515,0.81771,0.81372,0.82477,
516,0.81858,0.81569,0.82678,
517,0.81952,0.81776,0.82857,
518,0.82001,0.81973,0.83040,
519,0.82074,0.82185,0.83271,
520,0.82107,0.82444,0.83446,
521,0.82093,0.82656,0.83619,
522,0.82113,0.82820,0.83760,
523,0.82110,0.83002,0.83942,
524,0.82028,0.83214,0.84136,
525,0.81896,0.83452,0.84298,
526,0.81710,0.83658,0.84375,
527,0.81547,0.83844,0.84421,
528,0.81420,0.83984,0.84395,
529,0.81357,0.84058,0.84385,
530,0.81294,0.84138,0.84390,
531,0.81256,0.84141,0.84333,
532,0.81344,0.84124,0.84252,
533,0.81396,0.84079,0.84142,
534,0.81408,0.84037,0.84024,
535,0.81365,0.84024,0.83908,
536,0.81289,0.83932,0.83864,
537,0.81236,0.83836,0.83767,
538,0.81206,0.83733,0.83751,
539,0.81149,0.83563,0.83771,
540,0.81018,0.83362,0.83760,
541,0.80972,0.83207,0.83810,
542,0.81034,0.83174,0.83884,
543,0.81101,0.83218,0.83911,
544,0.81241,0.83193,0.83906,
545,0.81407,0.83170,0.83836,
546,0.81535,0.83169,0.83709,
547,0.81732,0.83133,0.83517,
548,0.81934,0.83177,0.83336,
549,0.82123,0.83240,0.83124,
550,0.82243,0.83305,0.82946,
551,0.82317,0.83464,0.82829,
552,0.82423,0.83673,0.82734,
553,0.82571,0.83860,0.82676,
554,0.82760,0.84089,0.82615,
555,0.82962,0.84295,0.82557,
556,0.83155,0.84474,0.82562,
557,0.83414,0.84743,0.82570,
558,0.83686,0.85018,0.82617,
559,0.83962,0.85259,0.82614,
560,0.84237,0.85453,0.82606,
561,0.84562,0.85601,0.82547,
562,0.84858,0.85754,0.82462,
563,0.85175,0.85866,0.82352,
564,0.85434,0.85911,0.82224,
565,0.85668,0.85951,0.82098,
566,0.85888,0.85924,0.81997,
567,0.86050,0.85811,0.81849,
568,0.86139,0.85671,0.81680,
569,0.86204,0.85555,0.81532,
570,0.86228,0.85356,0.81398,
571,0.86231,0.85208,0.81261,
572,0.86274,0.85110,0.81194,
573,0.86330,0.85006,0.81061,
574,0.86358,0.84909,0.80977,
575,0.86359,0.84754,0.80897,
576,0.86333,0.84550,0.80855,
577,0.86289,0.84378,0.80907,
578,0.86270,0.84260,0.80978,
579,0.86270,0.84182,0.81076,
580,0.86225,0.84045,0.81164,
581,0.86157,0.83916,0.81192,
582,0.86205,0.83801,0.81253,
583,0.86247,0.83737,0.81336,
584,0.86213,0.83784,0.81460,
585,0.86163,0.83796,0.81585,
586,0.86115,0.83820,0.81665,
587,0.86164,0.83784,0.81776,
588,0.86195,0.83809,0.81820,
589,0.86202,0.83840,0.81793,
590,0.86241,0.83799,0.81828,
591,0.86202,0.83704,0.81913,
592,0.86111,0.83546,0.82015,
593,0.86034,0.83345,0.82171,
594,0.86078,0.83146,0.82367,
595,0.86130,0.83031,0.82513,
596,0.86254,0.82905,0.82657,
597,0.86432,0.82841,0.82819,
598,0.86587,0.82878,0.82926,
599,0.86720,0.82931,0.83046,
600,0.86895,0.83034,0.83203,
601,0.87055,0.83063,0.83333,
602,0.87200,0.83060,0.83400,
603,0.87329,0.83103,0.83479,
604,0.87380,0.83272,0.83573,
605,0.87508,0.83487,0.83657,
606,0.87626,0.83706,0.83727,
607,0.87843,0.83969,0.83758,
608,0.88063,0.84226,0.83738,
609,0.88244,0.84405,0.83713,
610,0.88374,0.84551,0.83676,
611,0.88562,0.84627,0.83698,
612,0.88716,0.84715,0.83749,
613,0.88792,0.84746,0.83736,
614,0.88800,0.84709,0.83688,
615,0.88799,0.84718,0.83712,
616,0.88812,0.84671,0.83733,
617,0.88805,0.84627,0.83760,
618,0.88781,0.84551,0.83826,
619,0.88765,0.84527,0.83840,
620,0.88797,0.84439,0.83870,
621,0.88823,0.84279,0.83973,
622,0.88799,0.84068,0.84141,
623,0.88774,0.83817,0.84287,
624,0.88698,0.83576,0.84399,
625,0.88565,0.83406,0.84480,
626,0.88450,0.83279,0.84562,
627,0.88339,0.83197,0.84558,
628,0.88167,0.83149,0.84476,
629,0.87967,0.83069,0.84419,
630,0.87698,0.82966,0.84353,
631,0.87397,0.82943,0.84342,
632,0.87102,0.83021,0.84405,
633,0.86777,0.83138,0.84445,
634,0.86400,0.83283,0.84416,
635,0.85967,0.83467,0.84358,
636,0.85584,0.83636,0.84269,
637,0.85265,0.83759,0.84222,
638,0.84989,0.83872,0.84135,
